,mesh_cd,geometry,idxmax
145,53393363,"POLYGON ((139.4125 35.6333333333333, 139.425 35.6333333333333, 139.425 35.6416666666667, 139.4125 35.6416666666667, 139.4125 35.6333333333333))",セブンイ
146,53393364,"POLYGON ((139.425 35.6333333333333, 139.4375 35.6333333333333, 139.4375 35.6416666666667, 139.425 35.6416666666667, 139.425 35.6333333333333))",セブンイ
147,53393365,"POLYGON ((139.4375 35.6333333333333, 139.45 35.6333333333333, 139.45 35.6416666666667, 139.4375 35.6416666666667, 139.4375 35.6333333333333))",サンクス
148,53393366,"POLYGON ((139.45 35.6333333333333, 139.4625 35.6333333333333, 139.4625 35.6416666666667, 139.45 35.6416666666667, 139.45 35.6333333333333))",ファミリ
149,53393369,"POLYGON ((139.4875 35.6333333333333, 139.5 35.6333333333333, 139.5 35.6416666666667, 139.4875 35.6416666666667, 139.4875 35.6333333333333))",セブンイ
150,53393370,"POLYGON ((139.375 35.6416666666667, 139.3875 35.6416666666667, 139.3875 35.65, 139.375 35.65, 139.375 35.6416666666667))",他
151,53393372,"POLYGON ((139.4 35.6416666666667, 139.4125 35.6416666666667, 139.4125 35.65, 139.4 35.65, 139.4 35.6416666666667))",他
152,53393373,"POLYGON ((139.4125 35.6416666666667, 139.425 35.6416666666667, 139.425 35.65, 139.4125 35.65, 139.4125 35.6416666666667))",サンクス
153,53393374,"POLYGON ((139.425 35.6416666666667, 139.4375 35.6416666666667, 139.4375 35.65, 139.425 35.65, 139.425 35.6416666666667))",ローソン
154,53393375,"POLYGON ((139.4375 35.6416666666667, 139.45 35.6416666666667, 139.45 35.65, 139.4375 35.65, 139.4375 35.6416666666667))",ファミリ
155,53393376,"POLYGON ((139.45 35.6416666666667, 139.4625 35.6416666666667, 139.4625 35.65, 139.45 35.65, 139.45 35.6416666666667))",サンクス
156,53393379,"POLYGON ((139.4875 35.6416666666667, 139.5 35.6416666666667, 139.5 35.65, 139.4875 35.65, 139.4875 35.6416666666667))",サンクス
157,53393381,"POLYGON ((139.3875 35.65, 139.4 35.65, 139.4 35.6583333333333, 139.3875 35.6583333333333, 139.3875 35.65))",ファミリ
158,53393382,"POLYGON ((139.4 35.65, 139.4125 35.65, 139.4125 35.6583333333333, 139.4 35.6583333333333, 139.4 35.65))",セブンイ
159,53393383,"POLYGON ((139.4125 35.65, 139.425 35.65, 139.425 35.6583333333333, 139.4125 35.6583333333333, 139.4125 35.65))",ファミリ
160,53393384,"POLYGON ((139.425 35.65, 139.4375 35.65, 139.4375 35.6583333333333, 139.425 35.6583333333333, 139.425 35.65))",サンクス
161,53393385,"POLYGON ((139.4375 35.65, 139.45 35.65, 139.45 35.6583333333333, 139.4375 35.6583333333333, 139.4375 35.65))",サンクス
162,53393386,"POLYGON ((139.45 35.65, 139.4625 35.65, 139.4625 35.6583333333333, 139.45 35.6583333333333, 139.45 35.65))",セブンイ
163,53393388,"POLYGON ((139.475 35.65, 139.4875 35.65, 139.4875 35.6583333333333, 139.475 35.6583333333333, 139.475 35.65))",サークル
